origin,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_delay,arr_delay
EUG,3.6826258637709772,0.0,12.848469891411648,0.0,16.499012833168806,27.41559723593287,33.03010858835143
EVV,4.205574912891986,0.0,12.162891986062718,0.0,18.540940766550523,26.5801393728223,34.90940766550523
EWN,4.166666666666667,0.0,6.034632034632034,0.0,25.214285714285715,37.38095238095238,35.41558441558441
EWR,7.551767606547652,0.0,10.931131008657287,0.0,19.830395046623288,33.22358786126096,38.313293661828226
EYW,4.5722326454033775,0.0,10.180112570356473,0.0,19.405253283302063,31.573170731707318,34.15759849906191
FAI,5.420062695924765,0.0,9.81974921630094,0.0,17.079937304075234,25.818181818181817,32.31974921630094
FAR,5.015197568389058,0.0,12.581155015197568,0.0,17.712462006079026,26.64559270516717,35.30881458966565
FAT,5.113798572561459,0.0,11.208961141950832,0.0,18.29857256145916,29.640761300555116,34.621332275971454
FAY,4.028543307086614,0.0,7.942913385826771,0.0,21.46062992125984,31.584645669291337,33.43208661417323
FCA,3.5938189845474615,0.0,13.199779249448124,0.0,16.59492273730684,23.541942604856512,33.38852097130243
FLG,5.301652892561983,0.0,12.078512396694215,0.0,19.694214876033058,31.549586776859503,37.074380165289256
FLL,8.728436784198866,0.0,11.006421088205474,0.0,14.577484886035071,31.061544816191656,34.312342758439414
FLO,4.354037267080745,0.0,8.093167701863354,0.0,20.226708074534162,32.13664596273292,32.67391304347826
FNT,3.859232175502742,0.0,12.610603290676417,0.0,18.96526508226691,26.393967093235833,35.43510054844607
FSD,4.352344127597873,0.0,13.011599806669889,0.0,18.38279362010633,26.721604639922667,35.76848719188013
FSM,3.7157464212678937,0.0,9.844580777096114,0.0,20.05725971370143,27.25153374233129,33.61758691206544
FWA,6.084946908182386,0.0,11.44846970643348,0.0,16.493441599000626,27.212367270455964,34.02685821361649
GCC,2.1666666666666665,0.0,12.6875,0.0,20.493055555555557,24.02777777777778,35.34722222222222
GCK,5.024590163934426,0.0,10.565573770491802,0.0,18.065573770491802,25.237704918032787,33.65573770491803
GEG,3.839319470699433,0.0,13.11279143037177,0.0,14.965763495064062,24.61037597143457,31.917874396135264
GFK,4.10738255033557,0.0,9.778523489932885,0.0,21.78187919463087,30.57718120805369,35.66778523489933
GGG,4.265895953757226,0.0,10.497109826589595,0.0,20.173410404624278,26.739884393063583,34.9364161849711
GJT,3.11978465679677,0.0,11.32436069986541,0.0,18.834454912516822,25.53028263795424,33.278600269179
GNV,4.7650273224043715,0.0,8.209471766848816,0.0,21.942622950819672,30.759562841530055,34.91712204007286
GPT,4.125565610859729,0.0,11.097285067873303,0.0,19.373303167420815,27.32239819004525,34.59615384615385
GRB,3.0215827338129495,0.0,11.749800159872102,0.0,20.64588329336531,27.216626698641086,35.41726618705036
GRI,6.453125,0.0,11.08984375,0.0,16.0625,25.04296875,33.60546875
GRK,3.861271676300578,0.0,10.419075144508671,0.0,19.858381502890172,27.241329479768787,34.138728323699425
GRR,4.627680311890838,0.0,12.121442495126706,0.0,18.307797270955167,27.997465886939572,35.05692007797271
GSO,4.161497052037939,0.0,13.64214304024609,0.0,18.621122789028455,31.30069213022302,36.42476288131248
GSP,4.550324675324675,0.0,11.281655844155845,0.0,19.37121212121212,30.897186147186147,35.20319264069264
GST,1.0,0.0,8.8,0.0,23.2,25.7,33.0
