Airport,dest_airport_count,dest_airport_percent,origin_airport_count,origin_airport_percent,total_airport_count,total_airport_percent
FLG,71,0.02,55,0.02,126,0.02
ACV,70,0.02,80,0.02,150,0.02
HTS,69,0.02,49,0.01,118,0.02
ORH,69,0.02,73,0.02,142,0.02
SJT,69,0.02,59,0.02,128,0.02
CPR,69,0.02,88,0.03,157,0.02
YUM,68,0.02,43,0.01,111,0.02
MKK,66,0.02,87,0.03,153,0.02
SUN,62,0.02,63,0.02,125,0.02
PGV,62,0.02,67,0.02,129,0.02
RDD,62,0.02,61,0.02,123,0.02
ACK,61,0.02,61,0.02,122,0.02
DUT,61,0.02,36,0.01,97,0.01
GFK,61,0.02,68,0.02,129,0.02
YKM,59,0.02,57,0.02,116,0.02
TYR,59,0.02,63,0.02,122,0.02
FLO,58,0.02,55,0.02,113,0.02
DHN,58,0.02,58,0.02,116,0.02
ISN,58,0.02,59,0.02,117,0.02
DBQ,56,0.02,42,0.01,98,0.01
PUW,56,0.02,63,0.02,119,0.02
LCK,56,0.02,57,0.02,113,0.02
SPS,52,0.02,45,0.01,97,0.01
USA,52,0.02,52,0.02,104,0.02
EAT,51,0.01,75,0.02,126,0.02
LAW,51,0.01,61,0.02,112,0.02
COD,51,0.01,51,0.01,102,0.01
LBE,50,0.01,29,0.01,79,0.01
SIT,50,0.01,26,0.01,76,0.01
SLN,49,0.01,38,0.01,87,0.01
TXK,48,0.01,43,0.01,91,0.01
BLV,48,0.01,66,0.02,114,0.02
GTR,47,0.01,48,0.01,95,0.01
PIH,47,0.01,28,0.01,75,0.01
CSG,46,0.01,57,0.02,103,0.01
JLN,46,0.01,51,0.01,97,0.01
GUM,46,0.01,41,0.01,87,0.01
PSE,46,0.01,35,0.01,81,0.01
ALW,45,0.01,42,0.01,87,0.01
SHD,45,0.01,29,0.01,74,0.01
BPT,45,0.01,30,0.01,75,0.01
STX,44,0.01,20,0.01,64,0.01
ROW,44,0.01,44,0.01,88,0.01
SCK,44,0.01,64,0.02,108,0.02
MEI,44,0.01,38,0.01,82,0.01
UIN,43,0.01,34,0.01,77,0.01
GUC,43,0.01,45,0.01,88,0.01
ABY,43,0.01,41,0.01,84,0.01
HVN,42,0.01,29,0.01,71,0.01
HYS,41,0.01,49,0.01,90,0.01
WRG,39,0.01,14,0.0,53,0.01
CKB,39,0.01,32,0.01,71,0.01
CDC,39,0.01,21,0.01,60,0.01
PAH,39,0.01,49,0.01,88,0.01
LWB,38,0.01,30,0.01,68,0.01
SWO,38,0.01,31,0.01,69,0.01
CDV,38,0.01,25,0.01,63,0.01
EAU,38,0.01,27,0.01,65,0.01
PBG,38,0.01,53,0.02,91,0.01
BGM,37,0.01,42,0.01,79,0.01
TWF,36,0.01,49,0.01,85,0.01
ALO,35,0.01,26,0.01,61,0.01
MMH,33,0.01,29,0.01,62,0.01
GRI,32,0.01,56,0.02,88,0.01
PSG,32,0.01,32,0.01,64,0.01
CGI,31,0.01,26,0.01,57,0.01
GGG,30,0.01,42,0.01,72,0.01
HOB,30,0.01,24,0.01,54,0.01
VLD,30,0.01,31,0.01,61,0.01
JMS,29,0.01,31,0.01,60,0.01
CMX,29,0.01,26,0.01,55,0.01
ART,29,0.01,27,0.01,56,0.01
LAR,29,0.01,15,0.0,44,0.01
PIB,29,0.01,19,0.01,48,0.01
LWS,28,0.01,31,0.01,59,0.01
MKG,27,0.01,27,0.01,54,0.01
IPT,27,0.01,19,0.01,46,0.01
SPN,27,0.01,25,0.01,52,0.01
SCC,27,0.01,22,0.01,49,0.01
ADQ,27,0.01,29,0.01,56,0.01
PUB,27,0.01,44,0.01,71,0.01
DIK,27,0.01,28,0.01,55,0.01
BQK,27,0.01,28,0.01,55,0.01
GCK,26,0.01,25,0.01,51,0.01
YAK,26,0.01,26,0.01,52,0.01
JHM,26,0.01,33,0.01,59,0.01
RKS,25,0.01,20,0.01,45,0.01
PLN,25,0.01,33,0.01,58,0.01
GCC,25,0.01,29,0.01,54,0.01
MVY,25,0.01,30,0.01,55,0.01
RFD,25,0.01,37,0.01,62,0.01
ABR,25,0.01,27,0.01,52,0.01
LBL,24,0.01,16,0.0,40,0.01
EAR,24,0.01,10,0.0,34,0.0
PQI,23,0.01,28,0.01,51,0.01
BFF,23,0.01,18,0.01,41,0.01
PRC,23,0.01,34,0.01,57,0.01
EKO,22,0.01,14,0.0,36,0.01
RHI,22,0.01,20,0.01,42,0.01
PVU,21,0.01,26,0.01,47,0.01
ESC,21,0.01,20,0.01,41,0.01
VEL,21,0.01,14,0.0,35,0.01
OME,20,0.01,18,0.01,38,0.01
OTH,19,0.01,25,0.01,44,0.01
IAG,19,0.01,45,0.01,64,0.01
CIU,18,0.01,31,0.01,49,0.01
DVL,18,0.01,22,0.01,40,0.01
OTZ,18,0.01,25,0.01,43,0.01
BTM,18,0.01,22,0.01,40,0.01
DRT,18,0.01,11,0.0,29,0.0
BET,17,0.0,32,0.01,49,0.01
CNY,17,0.0,24,0.01,41,0.01
